Segment,Business Name,Instagram Handle,City,Contact Method,Contact Person,Email/Phone,Status,Warm-Up Date,DM/Email Sent Date,Follow-Up 1 Date,Follow-Up 2 Date,Reply?,Call Booked Date,Proposal Sent Date,Deposit Paid Date,Delivered Date,Notes
Restaurant,,,Cairo,DM,,,Identified,,,,,,,,,,
Restaurant,,,Cairo,DM,,,Identified,,,,,,,,,,
Clothing Brand,,,Cairo,DM,,,Identified,,,,,,,,,,
Clothing Brand,,,Cairo,DM,,,Identified,,,,,,,,,,
Hotel,,,Cairo,Email,,,Identified,,,,,,,,,,
Hotel,,,El Gouna,Email,,,Identified,,,,,,,,,,
Interior Design Studio,,,Cairo,DM,,,Identified,,,,,,,,,,
Interior Design Studio,,,Cairo,Email,,,Identified,,,,,,,,,,
Furniture Brand,,,Cairo,Email,,,Identified,,,,,,,,,,
Artist,,,Cairo,DM,,,Identified,,,,,,,,,,
